caseid,activity,activity_no,y_acc_sum,n_t,u_t,z_t,h_t,b_t,q_t,s_t,v_t,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,d,1,1.5931382248335733,1.4173158035445925,1.5931382248335733,1.4173158035445925,0.0820000022649765,0.1088380421387629,1.608153847948332,0.0,0.1758224212889807,2022-12-24 10:00:56,2022-12-24 14:35:44,2022-12-24 14:14:07,Saturday,14
0,e,2,3.8491467069941234,1.5931382248335733,2.25600848216055,1.4173158035445925,0.0820000022649765,0.3925560406225026,2.0676942677210524,0.43230573227894764,0.23056452504802946,2022-12-24 14:14:07,2022-12-25 12:00:00,2022-12-25 06:08:39,Sunday,12
0,c,3,6.491457739114701,2.25600848216055,2.642311032120577,1.4173158035445925,0.04100000113248825,0.01782437066111399,2.3148328539541523,0.18516714604584772,0.2011354039141792,2022-12-25 06:08:39,2022-12-25 12:00:00,2022-12-25 15:24:55,Sunday,12
0,f,4,9.908401861049354,2.642311032120577,3.4169441219346535,1.4173158035445925,0.0820000022649765,0.06241265365855415,2.7867236880441077,0.0,0.7746330898140763,2022-12-25 15:24:55,2022-12-25 18:52:52,2022-12-26 10:00:23,Sunday,18
1,d,1,2.412773450241326,1.9159756702774051,2.412773450241326,1.9159756702774051,0.04100000113248825,0.07219057220616326,2.0291662436160567,0.4708337563839433,0.025964023579977513,2022-12-24 21:59:00,2022-12-25 12:00:00,2022-12-25 09:54:23,Sunday,12
1,b,2,5.059610996188031,2.412773450241326,2.6468375459467053,1.9159756702774051,0.04100000113248825,0.23810548413176555,2.6918789355055797,0.0,0.2340640957053791,2022-12-25 09:54:23,2022-12-25 16:36:18,2022-12-25 15:31:26,Sunday,16
1,c,3,7.70769386791868,2.6468375459467053,2.648082871730649,1.9159756702774051,0.04100000113248825,0.11606062892147104,2.8038981760006645,0.0,0.0012453257839438639,2022-12-25 15:31:26,2022-12-25 19:17:36,2022-12-25 15:33:14,Sunday,19
1,e,4,10.78368798945709,2.648082871730649,3.0759941215384083,1.9159756702774051,0.04100000113248825,0.025234018898641696,2.714316891761779,0.0,0.4279112498077595,2022-12-25 15:33:14,2022-12-25 17:08:36,2022-12-26 01:49:25,Sunday,17
1,d,5,14.430937779158157,3.0759941215384083,3.647249789701067,1.9159756702774051,0.0820000022649765,0.0011515921706463361,3.1591457159740313,0.34085428402596873,0.23040138413668995,2022-12-26 01:49:25,2022-12-26 12:00:00,2022-12-26 15:32:02,Monday,12
1,f,6,18.270541805315307,3.647249789701067,3.8396040261571507,1.9159756702774051,0.0820000022649765,0.20082494923744748,3.9300747412034913,0.0,0.1923542364560835,2022-12-26 15:32:02,2022-12-26 22:19:18,2022-12-26 20:09:01,Monday,22
1,b,7,22.788883965597236,3.8396040261571507,4.51834216028193,1.9159756702774051,0.0820000022649765,0.14746895293068243,4.06907298135281,0.4309270186471901,0.24781111547758863,2022-12-26 20:09:01,2022-12-27 12:00:00,2022-12-27 12:26:24,Tuesday,12
1,e,8,28.11256458996911,4.51834216028193,5.323680624371873,1.9159756702774051,0.04100000113248825,0.2146214820178903,4.7739636434323085,0.0,0.8053384640899435,2022-12-27 12:26:24,2022-12-27 18:34:30,2022-12-28 07:46:06,Tuesday,18
1,d,9,35.64210883200617,5.323680624371873,7.529544242037062,1.9159756702774051,0.0,0.007535123778137859,5.331215748150011,2.1687842518499894,0.0370793658151998,2022-12-28 07:46:06,2022-12-30 12:00:00,2022-12-30 12:42:32,Friday,12
1,b,10,43.34034698766241,7.529544242037062,7.698238155656234,1.9159756702774051,0.04100000113248825,0.3078099028404338,0.8783541460099844,0.0,0.16869391361917183,2022-12-30 12:42:32,2022-12-23 21:04:49,2022-12-30 16:45:27,Friday,21
2,c,1,3.653082559372086,3.482820671207799,3.653082559372086,3.482820671207799,0.0820000022649765,0.3080541903708182,3.8728748638435935,0.0,0.1702618881642869,2022-12-26 11:35:15,2022-12-26 20:56:56,2022-12-26 15:40:26,Monday,20
2,f,2,7.369812169687931,3.653082559372086,3.7167296103158445,3.482820671207799,0.04100000113248825,0.031265533059601926,3.7253480935641763,0.0,0.06364705094375835,2022-12-26 15:40:26,2022-12-26 17:24:30,2022-12-26 17:12:05,Monday,17
3,c,1,5.866111716132653,4.782656741361652,5.866111716132653,4.782656741361652,0.0,0.0034370124330573354,4.7860937537947095,0.0,1.0834549747710005,2022-12-27 18:47:01,2022-12-27 18:51:58,2022-12-28 20:47:12,Tuesday,18
3,d,2,13.504492463951486,5.866111716132653,7.638380747818832,4.782656741361652,0.0820000022649765,0.10856734533728496,6.056679063734914,1.4433209362650858,0.3289480954210939,2022-12-28 20:47:12,2022-12-30 12:00:00,2022-12-30 15:19:16,Friday,12
3,e,3,22.29181797344031,7.638380747818832,8.787325509488824,4.782656741361652,0.04100000113248825,0.022858472682704915,0.7022392216340254,0.0,1.1489447616699908,2022-12-30 15:19:16,2022-12-23 16:51:13,2022-12-31 18:53:44,Friday,16
3,f,4,31.357202978125656,8.787325509488824,9.065385004685346,4.782656741361652,0.0820000022649765,0.12300481861185096,1.9923303303656503,0.0,0.27805949519652345,2022-12-31 18:53:44,2022-12-24 23:48:57,2023-01-01 01:34:09,Saturday,23
3,f,5,40.95216830541724,9.065385004685346,9.594965327291582,4.782656741361652,0.0820000022649765,0.01686565536853477,2.1642506623188584,0.33574933768114157,0.1938309849250954,2023-01-01 01:34:09,2022-12-25 12:00:00,2023-01-01 14:16:45,Sunday,12
4,f,1,7.395350842511423,5.015635881506595,7.395350842511423,5.015635881506595,0.04100000113248825,0.08473898431064032,5.1413748669497235,2.3586251330502765,0.021089827954551152,2022-12-28 00:22:30,2022-12-30 12:00:00,2022-12-30 09:29:18,Friday,12
4,b,2,15.372263649316269,7.395350842511423,7.976912806804846,5.015635881506595,0.0,0.27164482214991,0.6669956646613331,0.0,0.5815619642934231,2022-12-30 09:29:18,2022-12-23 16:00:28,2022-12-30 23:26:45,Friday,16
4,e,3,26.62327096709555,7.976912806804846,11.251007317779283,5.015635881506595,0.0820000022649765,0.06662159290982521,1.1255344019796478,0.3744655980203522,2.899628912954085,2022-12-30 23:26:45,2022-12-24 12:00:00,2023-01-03 06:01:27,Saturday,12
4,f,4,37.9629348396367,11.251007317779283,11.339663872541154,5.015635881506595,0.12300000339746475,0.11774709446653686,4.491754415643285,0.00824558435671463,0.08041097040515578,2023-01-03 06:01:27,2022-12-27 12:00:00,2023-01-03 08:09:06,Tuesday,12
5,d,1,9.782047908792771,6.52402529932219,9.782047908792771,6.52402529932219,0.0,0.013494307155158154,6.537519606477348,0.962480393522652,2.2955422159479286,2022-12-29 12:34:35,2022-12-30 12:00:00,2023-01-01 18:46:08,Friday,12
6,d,1,9.673860137569692,8.40783080704425,9.673860137569692,8.40783080704425,0.04100000113248825,0.045106189910266,1.4939369980870048,0.006063001912995247,1.2599663286124456,2022-12-31 09:47:16,2022-12-24 12:00:00,2023-01-01 16:10:21,Saturday,12
6,d,2,20.096398283877434,9.673860137569692,10.422538146307744,8.40783080704425,0.04100000113248825,0.031611413880653,2.7464715525828325,0.0,0.7486780087380521,2023-01-01 16:10:21,2022-12-25 17:54:55,2023-01-02 10:08:27,Sunday,17
6,e,3,30.86028832892368,10.422538146307744,10.763890045046244,8.40783080704425,0.12300000339746475,0.04149291806712817,3.5870310677723367,0.0,0.3413518987385002,2023-01-02 10:08:27,2022-12-26 14:05:19,2023-01-02 18:20:00,Monday,14
6,b,4,42.416203064992864,10.763890045046244,11.555914736069184,8.40783080704425,0.0,0.5044790127866418,4.268369057832885,0.231630942167115,0.5603937488558244,2023-01-02 18:20:00,2022-12-27 12:00:00,2023-01-03 13:20:31,Tuesday,12
6,f,5,54.89669152523681,11.555914736069184,12.480488460243945,8.40783080704425,0.04100000113248825,0.06058013807615865,4.6574948752778305,0.0,0.9245737241747612,2023-01-03 13:20:31,2022-12-27 15:46:47,2023-01-04 11:31:54,Tuesday,15
