caseid,activity,activity_no,y_acc_sum,z_t,n_t,q_t,h_t,b_t,s_t,v_t,u_t,starttime,endtime,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,e,1,0,0.27379743051445515,0.27379743051445515,0.3605347172115737,0.04100000113248825,0.045737285564630324,0.1394652827884263,0.41719876536906453,0.6434013348546094,0.5,0.9171987653690645,2023-01-02 00:34:16,2023-01-02 06:00:00,2023-01-02 16:00:45,Monday,6
0,d,2,0,0.27379743051445515,0.9171987653690645,1.2192804403510498,0.04100000113248825,0.261081673849497,0.28071955964895023,0.4794464978210472,1.0622477324519828,1.5,1.9794464978210473,2023-01-02 00:34:16,2023-01-03 06:00:00,2023-01-03 17:30:24,Tuesday,6
0,b,3,0,0.27379743051445515,1.9794464978210473,2.0748931666246353,0.0820000022649765,0.013446666538611395,0.4251068333753647,0.06420163824359344,0.5847551404225461,2.5,2.5642016382435933,2023-01-02 00:34:16,2023-01-04 06:00:00,2023-01-04 07:32:27,Wednesday,6
0,j,4,0,0.27379743051445515,2.5642016382435933,2.7209470642786218,0.04100000113248825,0.11574542490254024,0.0,0.6386331813803221,0.7953786074153506,2.7209470642786218,3.359580245658944,2023-01-02 00:34:16,2023-01-04 11:18:09,2023-01-05 02:37:47,Wednesday,11
0,c,5,0,0.27379743051445515,3.359580245658944,3.413567213758849,0.04100000113248825,0.012986966967416361,0.08643278624115114,0.03350561416285086,0.1739253685039066,3.5,3.5335056141628507,2023-01-02 00:34:16,2023-01-05 06:00:00,2023-01-05 06:48:14,Thursday,6
0,g,6,0,0.27379743051445515,3.5335056141628507,3.8225513254596026,0.04100000113248825,0.2480457101642636,0.0,0.353489067253272,0.6425347785500238,3.8225513254596026,4.176040392712874,2023-01-02 00:34:16,2023-01-05 13:44:28,2023-01-05 22:13:29,Thursday,13
0,k,7,0,0.27379743051445515,4.176040392712874,4.238663096410707,0.04100000113248825,0.021622702565344532,0.2613369035892932,0.157708367781983,0.48166797506910897,4.5,4.657708367781983,2023-01-02 00:34:16,2023-01-06 06:00:00,2023-01-06 09:47:06,Friday,6
0,i,8,0,0.27379743051445515,4.657708367781983,4.786705551230876,0.0820000022649765,0.04699718118391614,0.0,1.4223309714736563,1.5513281549225488,4.786705551230876,6.209036522704531,2023-01-02 00:34:16,2023-01-06 12:52:51,2023-01-07 23:01:00,Friday,12
0,f,9,0,0.27379743051445515,6.209036522704531,6.500352015111942,0.0820000022649765,0.20931549014243414,0.9996479848880577,0.49415113194581356,1.785114609241282,7.5,7.994151131945814,2023-01-02 00:34:16,2023-01-09 06:00:00,2023-01-09 17:51:34,Monday,6
0,h,10,0,0.27379743051445515,7.994151131945813,1.098975972808386,0.04100000113248825,0.06382483973008554,0.4010240271916139,0.05268197788714214,0.5585308459413298,8.5,8.552681977887142,2023-01-02 00:34:16,2023-01-10 06:00:00,2023-01-10 07:15:51,Tuesday,6
1,e,1,0,1.6075127862082246,1.6075127862082246,1.7077914725187557,0.04100000113248825,0.059278685178042995,0.0,0.6245546500114526,0.7248333363219839,1.7077914725187557,2.3323461225302085,2023-01-03 08:34:49,2023-01-03 10:59:13,2023-01-04 01:58:34,Tuesday,10
1,d,2,0,1.6075127862082246,2.3323461225302085,2.4176577384411835,0.0820000022649765,0.0033116136459987134,0.08234226155881652,0.35190661962839737,0.5195604970981891,2.5,2.8519066196283975,2023-01-03 08:34:49,2023-01-04 06:00:00,2023-01-04 14:26:44,Wednesday,6
1,b,3,0,1.6075127862082246,2.8519066196283975,2.950416439651875,0.0820000022649765,0.01650981775850082,0.0,0.0662114163407086,0.16472123636418592,2.950416439651875,3.0166278559925837,2023-01-03 08:34:49,2023-01-04 16:48:35,2023-01-04 18:23:56,Wednesday,16
1,j,4,0,1.6075127862082246,3.0166278559925837,3.1099279034750396,0.04100000113248825,0.052300046349967766,0.39007209652496044,0.20151114770720716,0.6848832917146236,3.5,3.7015111477072073,2023-01-03 08:34:49,2023-01-05 06:00:00,2023-01-05 10:50:10,Thursday,6
1,c,5,0,1.6075127862082246,3.7015111477072073,3.8189728035544084,0.0820000022649765,0.03546165358222438,0.0,0.10696851302337951,0.2244301688705804,3.8189728035544084,3.925941316577788,2023-01-03 08:34:49,2023-01-05 13:39:19,2023-01-05 16:13:21,Thursday,13
1,g,6,0,1.6075127862082246,3.925941316577788,4.186536551218351,0.0820000022649765,0.17859523237558692,0.3134634487816488,0.43864169825857824,1.0127003816807905,4.5,4.938641698258579,2023-01-03 08:34:49,2023-01-06 06:00:00,2023-01-06 16:31:38,Friday,6
1,k,7,0,1.6075127862082246,4.938641698258579,5.234347387201826,0.12300000339746475,0.17270568554578208,2.265652612798174,0.08897304871445452,2.6503313504558754,7.5,7.588973048714455,2023-01-03 08:34:49,2023-01-09 06:00:00,2023-01-09 08:08:07,Monday,6
1,i,8,0,1.6075127862082246,7.588973048714454,0.6463735326898732,0.04100000113248825,0.01640048284293053,0.0,1.0951239365998289,1.1525244205752476,7.646373532689873,8.741497469289701,2023-01-03 08:34:49,2023-01-09 09:30:46,2023-01-10 11:47:45,Monday,9
1,f,9,0,1.6075127862082246,8.741497469289701,1.8784833266526313,0.04100000113248825,0.09598585623044115,0.0,0.10890347647115298,0.24588933383408237,8.878483326652631,8.987386803123785,2023-01-03 08:34:49,2023-01-10 15:05:00,2023-01-10 17:41:50,Tuesday,15
1,h,10,0,1.6075127862082246,8.987386803123783,2.1552982716646962,0.0820000022649765,0.08591146627593561,0.34470172833530377,0.08325133721660384,0.5958645340928197,9.5,9.583251337216604,2023-01-03 08:34:49,2023-01-11 06:00:00,2023-01-11 07:59:52,Wednesday,6
2,e,1,0,1.9112229359776172,1.9112229359776172,2.0012058037642118,0.04100000113248825,0.0489828666541062,0.49879419623578825,0.43367687488719103,1.0224539389095737,2.5,2.933676874887191,2023-01-03 15:52:09,2023-01-04 06:00:00,2023-01-04 16:24:29,Wednesday,6
2,d,2,0,1.9112229359776172,2.933676874887191,3.2047658046913545,0.0820000022649765,0.18908892753918713,0.2952341953086455,0.21063105347310954,0.7769541785859186,3.5,3.7106310534731097,2023-01-03 15:52:09,2023-01-05 06:00:00,2023-01-05 11:03:18,Thursday,6
2,b,3,0,1.9112229359776172,3.7106310534731097,3.7173026332284893,0.0,0.0066715797553795605,0.0,0.054705273318680095,0.061376853074059656,3.7173026332284893,3.772007906547169,2023-01-03 15:52:09,2023-01-05 11:12:54,2023-01-05 12:31:41,Thursday,11
2,j,4,0,1.9112229359776172,3.772007906547169,3.9144718984170717,0.12300000339746475,0.019463988472437865,0.0,0.1224967144260049,0.2649607062959075,3.9144718984170717,4.036968612843077,2023-01-03 15:52:09,2023-01-05 15:56:50,2023-01-05 18:53:14,Thursday,15
2,c,5,0,1.9112229359776172,4.036968612843077,4.304547001093377,0.0820000022649765,0.18557838598532403,0.1954529989066227,0.14182480614228757,0.6048561932992108,4.5,4.641824806142288,2023-01-03 15:52:09,2023-01-06 06:00:00,2023-01-06 09:24:13,Friday,6
2,g,6,0,1.9112229359776172,4.641824806142288,4.794792342564519,0.04100000113248825,0.1119675352897431,0.0,0.06336585948460624,0.2163333959068376,4.794792342564519,4.858158202049125,2023-01-03 15:52:09,2023-01-06 13:04:30,2023-01-06 14:35:44,Friday,13
2,k,7,0,1.9112229359776172,4.858158202049125,5.472878505110983,0.12300000339746475,0.4917202996643927,2.027121494889017,0.8542839017803294,3.496125699731204,7.5,8.35428390178033,2023-01-03 15:52:09,2023-01-09 06:00:00,2023-01-10 02:30:10,Monday,6
2,i,8,0,1.9112229359776172,8.35428390178033,1.3972805081126474,0.04100000113248825,0.0019966051998290667,0.10271949188735263,1.3489872895041715,1.4947033877238414,8.5,9.848987289504171,2023-01-03 15:52:09,2023-01-10 06:00:00,2023-01-11 14:22:32,Tuesday,6
2,f,9,0,1.9112229359776172,9.848987289504171,3.0473224475567307,0.12300000339746475,0.07533515465509522,0.45267755244326935,0.15447576786815187,0.8054884783639812,10.5,10.654475767868153,2023-01-03 15:52:09,2023-01-12 06:00:00,2023-01-12 09:42:26,Thursday,6
2,h,10,0,1.9112229359776172,10.654475767868153,3.782317440870127,0.0820000022649765,0.04584167073699859,0.0,0.027108250706147898,0.15494992370812297,10.782317440870127,10.809425691576275,2023-01-03 15:52:09,2023-01-12 12:46:32,2023-01-12 13:25:34,Thursday,12
3,e,1,0,2.018158222729389,2.018158222729389,2.059916021867031,0.04100000113248825,0.0007577980051541509,0.44008397813296884,0.3493043546122668,0.831146131882878,2.5,2.8493043546122667,2023-01-03 18:26:08,2023-01-04 06:00:00,2023-01-04 14:22:59,Wednesday,6
3,d,2,0,2.018158222729389,2.8493043546122667,3.020545975407503,0.0820000022649765,0.08924161853025991,0.479454024592497,0.5369944622384476,1.187690107626181,3.5,4.0369944622384475,2023-01-03 18:26:08,2023-01-05 06:00:00,2023-01-05 18:53:16,Thursday,6
3,b,3,0,2.018158222729389,4.0369944622384475,4.1778164659193795,0.04100000113248825,0.09982200254844395,0.3221835340806205,0.12007817833123675,0.5830837160927895,4.5,4.620078178331236,2023-01-03 18:26:08,2023-01-06 06:00:00,2023-01-06 08:52:54,Friday,6
3,j,4,0,2.018158222729389,4.620078178331237,4.708589618339382,0.0820000022649765,0.006511437743168134,0.0,0.8111502659622549,0.8996617059703995,4.708589618339382,5.519739884301638,2023-01-03 18:26:08,2023-01-06 11:00:22,2023-01-07 06:28:25,Friday,11
3,c,5,0,2.018158222729389,5.519739884301637,5.860661618127775,0.0820000022649765,0.25892173156116155,1.639338381872225,0.08520374772804064,2.0654638634264035,7.5,7.58520374772804,2023-01-03 18:26:08,2023-01-09 06:00:00,2023-01-09 08:02:41,Monday,6
3,g,6,0,2.018158222729389,7.58520374772804,0.7291417692951647,0.04100000113248825,0.10293802043463596,0.0,0.0993210315054612,0.2432590530725854,7.729141769295165,7.828462800800626,2023-01-03 18:26:08,2023-01-09 11:29:57,2023-01-09 13:52:59,Monday,11
3,k,7,0,2.018158222729389,7.828462800800626,0.9411805403475029,0.04100000113248825,0.07171773841438882,0.0,0.14511952224783262,0.25783726179470967,7.941180540347503,8.086300062595335,2023-01-03 18:26:08,2023-01-09 16:35:17,2023-01-09 20:04:16,Monday,16
3,i,8,0,2.018158222729389,8.086300062595335,1.2009576301262204,0.0820000022649765,0.032657565265909544,0.29904236987377963,0.22609681960940103,0.6397967570140668,8.5,8.7260968196094,2023-01-03 18:26:08,2023-01-10 06:00:00,2023-01-10 11:25:34,Tuesday,6
3,f,9,0,2.018158222729389,8.7260968196094,1.8201699900055317,0.0820000022649765,0.012073168131153703,0.0,0.3420208881722946,0.4360940585684248,8.820169990005532,9.162190878177826,2023-01-03 18:26:08,2023-01-10 13:41:02,2023-01-10 21:53:33,Tuesday,13
3,h,10,0,2.018158222729389,9.162190878177826,2.2413613371793115,0.04100000113248825,0.0381704578689966,0.2586386628206885,0.026003265599745903,0.36381238742191924,9.5,9.526003265599746,2023-01-03 18:26:08,2023-01-11 06:00:00,2023-01-11 06:37:26,Wednesday,6
