caseid,activity,activity_no,y_acc_sum,z_t,n_t,q_t,h_t,b_t,s_t,v_t,u_t,starttime,endtime,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,e,1,0,0.7300253162445087,0.7300253162445087,0.9120305046922453,0.0820000022649765,0.1000051861827601,0.0,0.6962758833674398,0.8782810718151765,0.9120305046922453,1.608306388059685,2023-01-02 11:31:14,2023-01-02 15:53:19,2023-01-03 08:35:57,Monday,15
0,k,2,0,0.7300253162445087,1.608306388059685,1.700497043010972,0.0820000022649765,0.010190652686310434,0.0,0.2843220317623118,0.3765126867135987,1.700497043010972,1.984819074773284,2023-01-02 11:31:14,2023-01-03 10:48:42,2023-01-03 17:38:08,Tuesday,10
0,i,3,0,0.7300253162445087,1.984819074773284,2.137334164231339,0.0820000022649765,0.07051508719307842,0.3626658357686612,0.4945715792148464,1.0097525044415625,2.5,2.9945715792148464,2023-01-02 11:31:14,2023-01-04 06:00:00,2023-01-04 17:52:10,Wednesday,6
0,j,4,0,0.7300253162445087,2.9945715792148464,3.1742740582214544,0.04100000113248825,0.13870247787411968,0.32572594177854564,0.7751594937397357,1.2805879145248893,3.5,4.275159493739736,2023-01-02 11:31:14,2023-01-05 06:00:00,2023-01-06 00:36:13,Thursday,6
0,d,5,0,0.7300253162445087,4.275159493739736,4.55081648521404,0.0820000022649765,0.19365698920932778,0.0,0.2523522523898124,0.5280092438641166,4.55081648521404,4.803168737603852,2023-01-02 11:31:14,2023-01-06 07:13:10,2023-01-06 13:16:33,Friday,7
0,i,6,0,0.7300253162445087,4.803168737603852,5.03415754810985,0.0,0.23098881050599834,2.4658424518901496,0.1319188010906809,2.828750063486829,7.5,7.631918801090681,2023-01-02 11:31:14,2023-01-09 06:00:00,2023-01-09 09:09:57,Monday,6
0,f,7,0,0.7300253162445087,7.631918801090681,0.8249015603822896,0.0,0.19298275929160913,0.0,1.1143041581198279,1.307286917411437,7.82490156038229,8.939205718502118,2023-01-02 11:31:14,2023-01-09 13:47:51,2023-01-10 16:32:27,Monday,13
0,i,8,0,0.7300253162445087,8.939205718502118,2.0378663627880673,0.0820000022649765,0.01666064202097231,0.4621336372119327,0.7427444272247093,1.303538708722591,9.5,10.242744427224709,2023-01-02 11:31:14,2023-01-11 06:00:00,2023-01-11 23:49:33,Wednesday,6
0,f,9,0,0.7300253162445087,10.242744427224709,3.296376882353579,0.0,0.05363245512887035,0.20362311764642094,0.0136841391965725,0.2709397119718638,10.5,10.513684139196572,2023-01-02 11:31:14,2023-01-12 06:00:00,2023-01-12 06:19:42,Thursday,6
1,c,1,0,2.45679735196741,2.45679735196741,2.564905572491064,0.0820000022649765,0.02610821825867758,0.0,0.07261314220219642,0.1807213627258505,2.564905572491064,2.63751871469326,2023-01-04 04:57:47,2023-01-04 07:33:27,2023-01-04 09:18:01,Wednesday,7
2,g,1,0,3.2256014228232512,3.2256014228232512,3.3888989295462535,0.12300000339746475,0.04029750332553755,0.11110107045374651,0.429298072639623,0.7036966498163718,3.5,3.929298072639623,2023-01-04 23:24:51,2023-01-05 06:00:00,2023-01-05 16:18:11,Thursday,6
3,h,1,0,3.810708803452231,3.810708803452231,4.145958404074651,0.04100000113248825,0.29424959948993246,0.3540415959253487,0.026400804375983352,0.7156920009237527,4.5,4.526400804375983,2023-01-05 13:27:25,2023-01-06 06:00:00,2023-01-06 06:38:01,Friday,6
3,g,2,0,3.810708803452231,4.526400804375983,4.635906087651608,0.04100000113248825,0.06850528214313654,0.0,0.0028888517359001477,0.11239413501152494,4.635906087651608,4.638794939387508,2023-01-05 13:27:25,2023-01-06 09:15:42,2023-01-06 09:19:51,Friday,9
3,h,3,0,3.810708803452231,4.638794939387508,4.759059479223494,0.04100000113248825,0.07926453870349778,0.0,1.0048204887233443,1.1250850285593303,4.759059479223494,5.763879967946838,2023-01-05 13:27:25,2023-01-06 12:13:02,2023-01-07 12:19:59,Friday,12
3,h,4,0,3.810708803452231,5.763879967946838,5.887047507056128,0.04100000113248825,0.08216753797680085,1.6129524929438723,0.08150510883826205,1.8176251408914235,7.5,7.581505108838262,2023-01-05 13:27:25,2023-01-09 06:00:00,2023-01-09 07:57:22,Monday,6
3,j,5,0,3.810708803452231,7.581505108838262,0.7675865463715272,0.04100000113248825,0.1450814364007768,0.0,1.7323796936794906,1.9184611312127557,7.767586546371527,9.499966240051018,2023-01-05 13:27:25,2023-01-09 12:25:19,2023-01-11 05:59:57,Monday,12
3,g,6,0,3.810708803452231,9.499966240051018,2.602643145987294,0.0820000022649765,0.02067690367129904,0.0,1.148428776770892,1.2511056827071676,9.602643145987294,10.751071922758186,2023-01-05 13:27:25,2023-01-11 08:27:48,2023-01-12 12:01:32,Wednesday,8
3,b,7,0,3.810708803452231,10.751071922758186,3.9718915377019233,0.0820000022649765,0.13881961267876045,0.0,0.595591530167335,0.8164111451110719,10.971891537701923,11.567483067869258,2023-01-05 13:27:25,2023-01-12 17:19:31,2023-01-13 07:37:10,Thursday,17
3,f,8,0,3.810708803452231,11.567483067869258,4.674908924757869,0.0820000022649765,0.025425854623634087,0.0,0.3787509861371716,0.48617684302578223,11.674908924757869,12.05365991089504,2023-01-05 13:27:25,2023-01-13 10:11:52,2023-01-13 19:17:16,Friday,10
3,d,9,0,3.810708803452231,12.05365991089504,5.106442752701589,0.04100000113248825,0.0117828406740599,2.3935572472984106,1.3128097812839798,3.7591498703889386,14.5,15.81280978128398,2023-01-05 13:27:25,2023-01-16 06:00:00,2023-01-17 13:30:26,Monday,6
3,b,10,0,3.810708803452231,15.81280978128398,1.96636019235887,0.12300000339746475,0.03055040767742548,0.0,0.4229764508119994,0.5765268618868896,15.96636019235887,16.389336643170868,2023-01-05 13:27:25,2023-01-17 17:11:33,2023-01-18 03:20:38,Tuesday,17
4,b,1,0,4.7455048300544505,4.7455048300544505,4.981464340162098,0.12300000339746475,0.11295950671018355,0.0,0.18098803659455912,0.41694754670220746,4.981464340162098,5.162452376756658,2023-01-06 11:53:31,2023-01-06 17:33:18,2023-01-06 21:53:55,Friday,17
4,d,2,0,4.7455048300544505,5.162452376756658,5.298533741087183,0.0,0.13608136433052484,2.2014662589128173,0.03985962391111889,2.377407247154461,7.5,7.539859623911119,2023-01-06 11:53:31,2023-01-09 06:00:00,2023-01-09 06:57:23,Monday,6
