caseid,activity,activity_no,y_acc_sum,n_t,u_t,z_t,h_t,b_t,q_t,s_t,v_t,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,i,1,2.4943933920283072,1.7060967263813511,2.4943933920283072,1.7060967263813511,0.0820000022649765,0.010508381043674558,1.7986051096900022,0.0,0.7882966656469562,2022-12-24 16:56:46,2022-12-24 19:09:59,2022-12-25 11:51:55,Saturday,19
1,e,1,3.292167626604036,2.3109004881083646,3.292167626604036,2.3109004881083646,0.04100000113248825,0.2657130953090905,2.617613584549943,0.0,0.9812671384956714,2022-12-25 07:27:41,2022-12-25 14:49:21,2022-12-26 07:00:43,Sunday,14
1,e,2,6.708554942437749,3.292167626604036,3.4163873158337124,2.3109004881083646,0.0820000022649765,0.009708190777928283,3.3838758196469407,0.11612418035305927,0.008095508876617431,2022-12-26 07:00:43,2022-12-26 12:00:00,2022-12-26 09:59:35,Monday,12
1,g,3,10.47319385682772,3.4163873158337124,3.7646389143899706,2.3109004881083646,0.0820000022649765,0.1312769115176259,3.629664229616315,0.0,0.34825159855625804,2022-12-26 09:59:35,2022-12-26 15:06:42,2022-12-26 18:21:04,Monday,15
1,g,4,14.70803163969142,3.7646389143899706,4.234837782863699,2.3109004881083646,0.12300000339746475,0.14859503729786955,4.036233955085305,0.46376604491469475,0.006432823559033953,2022-12-26 18:21:04,2022-12-27 12:00:00,2022-12-27 05:38:09,Tuesday,12
1,c,5,19.139171550441013,4.234837782863699,4.431139910749594,2.3109004881083646,0.0,0.09138681091594471,4.326224593779644,0.17377540622035603,0.022526721665538773,2022-12-27 05:38:09,2022-12-27 12:00:00,2022-12-27 10:20:50,Tuesday,12
1,h,6,23.644250057106635,4.431139910749594,4.505078506665623,2.3109004881083646,0.0820000022649765,0.030711741338873427,4.5438516543534435,0.0,0.07393859591602922,2022-12-27 10:20:50,2022-12-27 13:03:08,2022-12-27 12:07:18,Tuesday,13
2,e,1,7.830102012442475,6.842619829744962,7.830102012442475,6.842619829744962,0.04100000113248825,0.035200493471806885,6.918820324349257,0.581179675650743,0.40630250704677007,2022-12-29 20:13:22,2022-12-30 12:00:00,2022-12-30 19:55:20,Friday,12
2,e,2,15.667841009321226,7.830102012442475,7.837738996878752,6.842619829744962,0.0820000022649765,0.03108606869346344,0.9431880834009148,0.0,0.007636984436277231,2022-12-30 19:55:20,2022-12-23 22:38:11,2022-12-30 20:06:20,Friday,22
2,d,3,24.177111056721444,7.837738996878752,8.509270047400216,6.842619829744962,0.04100000113248825,0.0034012287894752205,0.8821402268007157,0.0,0.6715310505214647,2022-12-30 20:06:20,2022-12-23 21:10:16,2022-12-31 12:13:20,Friday,21
