caseid,activity,activity_no,y_acc_sum,n_t,u_t,z_t,h_t,b_t,q_t,s_t,v_t,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,g,1,2.435880897968645,1.1278706685057185,2.435880897968645,1.1278706685057185,0.0,0.02779771133613861,1.155668379841857,0.344331620158143,0.9636786093047832,2022-12-24 03:04:08,2022-12-24 12:00:00,2022-12-25 10:27:40,Saturday,12
0,b,2,5.295905028110038,2.435880897968645,2.860024130141393,1.1278706685057185,0.04100000113248825,0.3110683677997567,2.7879492669008896,0.0,0.4241432321727481,2022-12-25 10:27:40,2022-12-25 18:54:38,2022-12-25 20:38:26,Sunday,18
0,d,3,9.148538194886397,2.860024130141393,3.852633166776359,1.1278706685057185,0.04100000113248825,0.11551968380362405,3.016543815077505,0.483456184922495,0.5091528517124713,2022-12-25 20:38:26,2022-12-26 12:00:00,2022-12-26 20:27:47,Monday,12
0,j,4,13.840111159423817,3.852633166776359,4.6915729645374205,1.1278706685057185,0.0820000022649765,0.08358497133456515,4.0182181403759,0.4817818596240997,0.3571579381369621,2022-12-26 20:27:47,2022-12-27 12:00:00,2022-12-27 16:35:51,Tuesday,12
0,c,5,18.978287645830278,4.6915729645374205,5.1381764864064605,1.1278706685057185,0.0,0.002548561456430093,4.69412152599385,0.0,0.44660352186904045,2022-12-27 16:35:51,2022-12-27 16:39:32,2022-12-28 03:18:58,Tuesday,16
0,e,6,26.445017764653358,5.1381764864064605,7.466730118823078,1.1278706685057185,0.0,0.09262840900645469,5.230804895412915,2.2691951045870846,0.05935852782953228,2022-12-28 03:18:58,2022-12-30 12:00:00,2022-12-30 11:12:05,Friday,12
0,k,7,33.93235058415055,7.466730118823078,7.487332819497189,1.1278706685057185,0.04100000113248825,0.09439347307891469,0.6021235930344808,0.0,0.02060270067411054,2022-12-30 11:12:05,2022-12-23 14:27:03,2022-12-30 11:41:45,Friday,14
0,h,8,41.63805666698903,7.487332819497189,7.7057060828384785,1.1278706685057185,0.0,0.22534567998925986,0.7126784994864481,0.0,0.21837326334128976,2022-12-30 11:41:45,2022-12-23 17:06:15,2022-12-30 16:56:13,Friday,17
0,f,9,49.48118387863951,7.7057060828384785,7.843127211650482,1.1278706685057185,0.12300000339746475,0.03580174586181239,0.8645078320977557,0.0,0.13742112881200316,2022-12-30 16:56:13,2022-12-23 20:44:53,2022-12-30 20:14:06,Friday,20
0,i,10,57.782355582802495,7.843127211650482,8.30117170416298,1.1278706685057185,0.0820000022649765,0.11779949109006278,1.042926705005522,0.457073294994478,0.0009711975180220229,2022-12-30 20:14:06,2022-12-24 12:00:00,2022-12-31 07:13:41,Saturday,12
1,g,1,4.496343172248284,1.7875708197728084,4.496343172248284,1.7875708197728084,0.12300000339746475,0.05265067926052524,1.9632215024307984,0.0,2.708772352475475,2022-12-24 18:54:06,2022-12-24 23:07:02,2022-12-27 11:54:44,Saturday,23
1,b,2,9.204643138332983,4.496343172248284,4.7082999660847,1.7875708197728084,0.0820000022649765,0.1833950352216532,4.761738209734913,0.0,0.21195679383641639,2022-12-27 11:54:44,2022-12-27 18:16:54,2022-12-27 16:59:57,Tuesday,18
1,d,3,15.18162952323618,4.7082999660847,5.9769863849031974,1.7875708197728084,0.0820000022649765,0.1762562981947286,4.966556266544405,0.0,1.2686864188184979,2022-12-27 16:59:57,2022-12-27 23:11:50,2022-12-28 23:26:51,Tuesday,23
1,j,4,23.1697579658834,5.9769863849031974,7.988128442647219,1.7875708197728084,0.04100000113248825,0.04370278178740016,6.0616891678230855,1.4383108321769145,0.5728312255671074,2022-12-28 23:26:51,2022-12-30 12:00:00,2022-12-30 23:42:54,Friday,12
1,c,5,33.25127622117263,7.988128442647219,10.081518255289229,1.7875708197728084,0.04100000113248825,0.007454851992267823,1.0365832957719743,0.4634167042280257,1.6299731084139846,2022-12-30 23:42:54,2022-12-24 12:00:00,2023-01-02 01:57:23,Saturday,12
