process_entropy,number_of_traces,statespace_size,process_type,process_memory,med_ent_n_transitions,inter_arrival_time,process_stability_scale,resource_availability_p,resource_availability_n,resource_availability_m,activity_duration_lambda_range,Deterministic_offset_W,Deterministic_offset_u,model_pipeline,num_replications,RUN,Done,Failure
min_entropy,100.0,5,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,1,0,0
med_entropy,100.0,5,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,2,0,0
max_entropy,100.0,5,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,3,0,0
min_entropy,100.0,10,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,4,0,0
med_entropy,100.0,10,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,5,0,0
max_entropy,100.0,10,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,6,0,0
min_entropy,100.0,5,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,7,0,0
med_entropy,100.0,5,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,8,0,0
max_entropy,100.0,5,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,9,0,0
min_entropy,100.0,10,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,10,0,0
med_entropy,100.0,10,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,11,0,0
max_entropy,100.0,10,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,12,0,0
min_entropy,100.0,5,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,13,0,0
med_entropy,100.0,5,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,14,0,0
max_entropy,100.0,5,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,15,0,0
min_entropy,100.0,10,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,16,0,0
med_entropy,100.0,10,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,17,0,0
max_entropy,100.0,10,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,18,0,0
min_entropy,100.0,5,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,19,0,0
med_entropy,100.0,5,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,20,0,0
max_entropy,100.0,5,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,21,0,0
min_entropy,100.0,10,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,22,0,0
med_entropy,100.0,10,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,23,0,0
max_entropy,100.0,10,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,24,0,0
