process_entropy,number_of_traces,statespace_size,process_type,process_memory,med_ent_n_transitions,inter_arrival_time,process_stability_scale,resource_availability_p,resource_availability_n,resource_availability_m,activity_duration_lambda_range,Deterministic_offset_W,Deterministic_offset_u,model_pipeline,num_replications,RUN,Done,Failure,simuation_time_sec,num_traces,num_events,num_variants,avg_tracelen,min_tracelen,max_tracelen
min_entropy,100.0,5,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,1,0,0,0.10926628112792969,100,500,1,5.0,5,5
med_entropy,100.0,5,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,2,0,0,0.0903935432434082,100,340,53,3.4,1,18
max_entropy,100.0,5,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,3,0,0,0.11274313926696777,100,531,79,5.31,1,28
min_entropy,100.0,10,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,4,0,0,0.16778993606567383,100,1000,1,10.0,10,10
med_entropy,100.0,10,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,5,0,0,0.1763167381286621,100,1155,89,11.55,1,61
max_entropy,100.0,10,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,6,0,0,0.17482709884643555,100,1098,92,10.98,1,50
min_entropy,100.0,5,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,7,0,0,0.10628700256347656,100,500,1,5.0,5,5
med_entropy,100.0,5,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,8,0,0,3.9033663272857666,100,721,81,7.21,1,36
max_entropy,100.0,5,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,9,0,0,6.500868797302246,100,622,79,6.22,1,41
min_entropy,100.0,10,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,10,0,0,0.3496527671813965,100,1000,1,10.0,10,10
med_entropy,100.0,10,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,11,0,0,96.92200183868408,100,832,84,8.32,1,53
max_entropy,100.0,10,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,12,0,0,102.4965877532959,100,977,95,9.77,1,47
min_entropy,100.0,5,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,13,0,0,0.2160494327545166,100,500,1,5.0,5,5
med_entropy,100.0,5,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,14,0,0,0.18922948837280273,100,388,53,3.88,1,16
max_entropy,100.0,5,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,15,0,0,0.2359156608581543,100,568,71,5.68,1,24
min_entropy,100.0,10,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,16,0,0,0.3516409397125244,100,1000,1,10.0,10,10
med_entropy,100.0,10,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,17,0,0,0.2930338382720947,100,787,88,7.87,1,45
max_entropy,100.0,10,memoryless,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,18,0,0,0.4067692756652832,100,1203,99,12.03,1,51
min_entropy,100.0,5,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,19,0,0,0.21853351593017578,100,500,1,5.0,5,5
med_entropy,100.0,5,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,20,0,0,4.875280141830444,100,820,69,8.2,1,43
max_entropy,100.0,5,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,21,0,0,6.840368270874023,100,582,86,5.82,1,23
min_entropy,100.0,10,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,22,0,0,0.35015010833740234,100,1000,1,10.0,10,10
med_entropy,100.0,10,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,23,0,0,91.42390513420105,100,1167,88,11.67,1,47
max_entropy,100.0,10,memory,4.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,24,0,0,94.67555856704712,100,1009,94,10.09,1,44
