activity_no,event_no,trace_length,transitions,process_entropy,process_type,statespace_size,number_of_traces
100,1,5,3.0,min_entropy,memoryless,5,100.0
100,2,5,3.0,min_entropy,memoryless,5,100.0
100,3,5,3.0,min_entropy,memoryless,5,100.0
100,4,5,3.0,min_entropy,memoryless,5,100.0
100,5,5,3.0,min_entropy,memoryless,5,100.0
100,1,21,3.0,med_entropy,memoryless,5,100.0
70,2,21,3.0,med_entropy,memoryless,5,100.0
64,3,21,3.0,med_entropy,memoryless,5,100.0
56,4,21,3.0,med_entropy,memoryless,5,100.0
49,5,21,3.0,med_entropy,memoryless,5,100.0
41,6,21,3.0,med_entropy,memoryless,5,100.0
35,7,21,3.0,med_entropy,memoryless,5,100.0
29,8,21,3.0,med_entropy,memoryless,5,100.0
23,9,21,3.0,med_entropy,memoryless,5,100.0
19,10,21,3.0,med_entropy,memoryless,5,100.0
15,11,21,3.0,med_entropy,memoryless,5,100.0
14,12,21,3.0,med_entropy,memoryless,5,100.0
13,13,21,3.0,med_entropy,memoryless,5,100.0
12,14,21,3.0,med_entropy,memoryless,5,100.0
9,15,21,3.0,med_entropy,memoryless,5,100.0
8,16,21,3.0,med_entropy,memoryless,5,100.0
5,17,21,3.0,med_entropy,memoryless,5,100.0
3,18,21,3.0,med_entropy,memoryless,5,100.0
3,19,21,3.0,med_entropy,memoryless,5,100.0
1,20,21,3.0,med_entropy,memoryless,5,100.0
1,21,21,3.0,med_entropy,memoryless,5,100.0
100,1,24,3.0,max_entropy,memoryless,5,100.0
86,2,24,3.0,max_entropy,memoryless,5,100.0
73,3,24,3.0,max_entropy,memoryless,5,100.0
61,4,24,3.0,max_entropy,memoryless,5,100.0
47,5,24,3.0,max_entropy,memoryless,5,100.0
40,6,24,3.0,max_entropy,memoryless,5,100.0
33,7,24,3.0,max_entropy,memoryless,5,100.0
30,8,24,3.0,max_entropy,memoryless,5,100.0
24,9,24,3.0,max_entropy,memoryless,5,100.0
20,10,24,3.0,max_entropy,memoryless,5,100.0
15,11,24,3.0,max_entropy,memoryless,5,100.0
